rule_id,process_family,category,rule_name,check_description,parameter,typical_threshold,units,rule_kind,severity_suggestion,guideline_ref,provenance,source_name,source_url,consulted_via,notes,date_collected
IM-001,Injection Moulding,Wall Thickness,Minimum/maximum wall thickness (ABS),Measure nominal wall thickness across all shelled/thin-wall regions of an ABS part and flag regions outside the recommended range.,wall_thickness_range,1.14–3.56 mm (Protolabs); 1.5–3.5 mm (GD Prototyping),mm,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),Two published ranges differ slightly; treat 1.5 mm as the practical safe minimum for structural ABS parts and 3.5 mm as a soft cap before requiring coring.,8/9/2026
IM-002,Injection Moulding,Wall Thickness,Minimum/maximum wall thickness (PC),Measure nominal wall thickness across a polycarbonate part and flag regions outside the recommended range.,wall_thickness_range,1.02–3.81 mm,mm,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),Consistent with Fictiv's cited PC range of 1.02–3.81 mm.,8/9/2026
IM-003,Injection Moulding,Wall Thickness,Minimum/maximum wall thickness (PP),Measure nominal wall thickness across a polypropylene part and flag regions outside the recommended range.,wall_thickness_range,0.89–3.81 mm (Protolabs); 0.64–3.81 mm (Fictiv),mm,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),Sources disagree on the minimum bound (0.89 mm vs 0.64 mm); use 0.89 mm as the conservative minimum for load-bearing PP features.,8/9/2026
IM-004,Injection Moulding,Wall Thickness,Minimum/maximum wall thickness (PA / Nylon),Measure nominal wall thickness across a nylon (PA6/PA66) part and flag regions outside the recommended range.,wall_thickness_range,0.76–2.92 mm,mm,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),Confirmed by Fictiv's identical cited range. Glass-filled PA grades tolerate thinner sections but need more draft (see Material-Specific rules).,8/9/2026
IM-005,Injection Moulding,Wall Thickness,Minimum/maximum wall thickness (POM / Acetal),Measure nominal wall thickness across a POM (acetal) part and flag regions outside the recommended range.,wall_thickness_range,0.76–3.05 mm,mm,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),POM has high crystallinity and shrinkage; uniform wall thickness matters more here than for amorphous resins (see Warpage rules).,8/9/2026
IM-006,Injection Moulding,Wall Thickness,Minimum/maximum wall thickness (PBT),Measure nominal wall thickness across a PBT part and flag regions outside the recommended range.,wall_thickness_range,2.03–6.35 mm (as published by Fictiv),mm,quantitative_not_yet_computable,minor,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),"This published range is notably higher than typical Dyson consumer-part wall sections (often 1.0–3.0 mm for PBT); flagged as questionable — verify against the resin supplier's (e.g. DuPont Crastin, BASF Ultradur) datasheet before using as a hard limit.",8/9/2026
IM-007,Injection Moulding,Wall Thickness,Minimum/maximum wall thickness (PC/ABS blend),Measure nominal wall thickness across a PC/ABS blend part and flag regions outside the recommended range.,wall_thickness_range,"1.2–3.5 mm (typical, interpolated between PC and ABS)",mm,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),"No PC/ABS-specific figure was found in the fetched supplier guides; value is interpolated from the individually published PC and ABS ranges and should be verified against the specific blend grade's datasheet (e.g. Covestro Bayblend, SABIC Cycoloy).",8/9/2026
IM-008,Injection Moulding,Wall Thickness,Uniform wall thickness / adjacent-wall ratio,Compare wall thickness of adjacent regions across each detected thickness transition; flag transitions where the thinner region is less than 40–60% of the thicker region.,adjacent_wall_ratio_min,0.4–0.6 (thinner section as fraction of thicker),ratio,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Wall Thickness Design Tips,https://www.protolabs.com/resources/design-tips/improving-part-design-with-uniform-wall-thickness/,web_research (Claude Sonnet agent),"This is the primary rule used to size ribs, bosses, and gussets relative to nominal wall (see Ribs/Bosses categories).",8/9/2026
IM-009,Injection Moulding,Wall Thickness,Gradual wall-thickness transition (taper ratio),"At every location where wall thickness changes, verify the transition is tapered rather than abrupt, with taper length at least 3x the thickness difference.",wall_transition_taper_length_min,?3× the thickness step,ratio,quantitative_not_yet_computable,major,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Abrupt steps concentrate stress and cause sink/warp; the 3x rule-of-thumb is common industry practice but was not found stated numerically in the fetched sources.,8/9/2026
IM-010,Injection Moulding,Draft,Minimum draft on all vertical faces,Check every nominally-vertical face (relative to the assumed pull direction) for a minimum draft angle.,draft_angle_min,0.5,degrees,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),"0.5° is the absolute floor even for polished, shallow features; most surfaces should carry more (see next rule).",8/9/2026
